rule	sample	s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
align	IMGL_iMGL_WT_00h_1_1	0:00:39	4401.04	5895.74	4381.18	4385.31	4287.36	0.0	33.54
align	IMGL_iMGL_WT_00h_2_1	0:00:28	4403.49	5895.74	4383.69	4387.84	4285.97	0.0	33.03
align	IMGL_iMGL_WT_24h_1_1	0:00:38	4399.53	5895.74	4379.55	4383.76	4285.97	0.0	33.15
align	IMGL_iMGL_WT_24h_2_1	0:00:33	4405.5	5895.74	4385.74	4389.93	4285.97	0.0	38.47
fastqc	IMGL_iMGL_WT_00h_1_1	0:00:19	217.86	2614.39	203.24	209.18	34.2	1.32	72.59
fastqc	IMGL_iMGL_WT_00h_2_1	0:00:13	209.58	2611.04	195.55	201.23	41.32	1.26	75.06
fastqc	IMGL_iMGL_WT_24h_1_1	0:00:18	209.88	2613.9	195.82	201.51	40.86	1.34	78.37
fastqc	IMGL_iMGL_WT_24h_2_1	0:00:20	208.84	2611.04	206.1	206.18	74.96	1.08	69.34
multiqc		0:02:36	55.52	542.88	50.91	51.33	54.39	0.01	83.59
quant	IMGL_iMGL_WT_00h_1_1	0:00:27	1246.6	1881.52	1244.04	1244.11	629.29	0.0	49.88
quant	IMGL_iMGL_WT_00h_2_1	0:00:27	1247.46	1881.52	1244.9	1244.97	629.29	0.0	47.55
quant	IMGL_iMGL_WT_24h_1_1	0:00:23	1247.92	1881.52	1245.36	1245.44	629.29	0.0	45.95
quant	IMGL_iMGL_WT_24h_2_1	0:00:25	1253.02	1881.53	1250.46	1250.53	629.29	0.0	49.75
signal	IMGL_iMGL_WT_00h_1_1	0:02:28	41.46	483.47	30.93	34.38	19.29	7.81	90.5
signal	IMGL_iMGL_WT_00h_2_1	0:01:14	41.51	483.31	37.56	37.87	44.33	4.79	58.72
signal	IMGL_iMGL_WT_24h_1_1	0:02:21	41.56	483.3	31.19	33.48	17.16	7.76	95.1
signal	IMGL_iMGL_WT_24h_2_1	0:02:25	41.84	483.51	31.31	33.6	3.82	8.17	92.19
strandedSignal	IMGL_iMGL_WT_00h_1_1	0:03:51	42.87	484.01	38.12	38.37	36.64	10.2	84.08
strandedSignal	IMGL_iMGL_WT_00h_2_1	0:05:19	43.1	485.26	39.27	39.53	43.71	11.01	89.23
strandedSignal	IMGL_iMGL_WT_24h_1_1	0:04:55	41.7	483.35	37.65	37.9	44.33	9.93	85.85
strandedSignal	IMGL_iMGL_WT_24h_2_1	0:03:32	42.15	484.57	38.35	38.6	32.06	9.44	77.25
trim	IMGL_iMGL_WT_00h_1_1	0:00:36	27.42	583.61	17.73	19.64	12.14	0.0	17.76
trim	IMGL_iMGL_WT_00h_2_1	0:00:38	27.43	583.61	19.93	20.75	8.41	0.0	18.29
trim	IMGL_iMGL_WT_24h_1_1	0:00:29	27.43	583.61	21.22	21.38	11.14	0.0	13.59
trim	IMGL_iMGL_WT_24h_2_1	0:00:30	27.43	583.61	21.25	21.47	15.18	0.0	13.48
tximport		0:03:08	1273.55	1727.26	1265.81	1266.68	1302.16	123.93	86.75
